name,category,domain,from_price_usd_mo,flags,review_url,researched,entry_price,entry_price_terms,pricing_status
1Password,IT & Productivity,1password.com,3.99,per_seat|annual_lock,https://aibuildermarketplace.com/b2b/1password-review/,2026-07,$3.99,"Individual · per month, regular rate billed annually",public
800.com,Communication & Voice,800.com,19.0,,https://aibuildermarketplace.com/b2b/800-com-review/,2026-07,$19,per month on yearly billing ($23 month to month),public
accessiBe,IT & Productivity,accessibe.com,59.0,addons_extra,https://aibuildermarketplace.com/b2b/accessibe-review/,2026-07,$59,"Micro · per month for up to 5,000 monthly visits",public
ActiveCampaign,Growth & Revenue,activecampaign.com,15.0,addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/activecampaign-review/,2026-07,$15,per month billed annually (1 user),public
AdCreative.ai,Growth & Revenue,adcreative.ai,39.0,usage_metered,https://aibuildermarketplace.com/b2b/adcreative-ai-review/,2026-07,$39,a month for 10 credits and 1 brand,public
ADP,HR & People,adp.com,,per_seat,https://aibuildermarketplace.com/b2b/adp-review/,2026-07,,,quote_only
Adwisely,Growth & Revenue,adwisely.com,49.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/adwisely-review/,2026-07,$49,per month minimum on Self-Serve,public
AfterSell,Growth & Revenue,aftersell.app,34.99,usage_metered,https://aibuildermarketplace.com/b2b/aftersell-review/,2026-07,$34.99,"a month at 200 monthly orders, capped at $999.99",public
AgencyAnalytics,Growth & Revenue,agencyanalytics.com,,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/agencyanalytics-review/,2026-07,,,see_details
AgentNest,SEO & Marketing,ecommercestorez.us,19.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/agentnest-review/,2026-07,$19,"Starter · per month for 100 successful automated fixes, billed in USD every 30…",public
AhaSlides,Design & Content,ahaslides.com,,annual_lock|free_tier,https://aibuildermarketplace.com/b2b/ahaslides-review/,2026-07,€7.25,a month billed yearly (NL price - varies by country),public
Aira,Growth & Revenue,aira.app,,per_seat,https://aibuildermarketplace.com/b2b/aira-review/,2026-07,€149,"per user a month, billed monthly",public
Aircall,Communication & Voice,aircall.io,30.0,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/aircall-review/,2026-07,$30,"Essentials, per licence · per licence per month on annual billing ($40 billed monthly)",public
Airia,IT & Productivity,airia.com,,,https://aibuildermarketplace.com/b2b/airia-review/,2026-07,,,quote_only
Airwallex,Finance,airwallex.com,12.0,,https://aibuildermarketplace.com/b2b/airwallex-review/,2026-07,$12,a month per active Spend user plus a team-size platform fee,public
AISDR,Growth & Revenue,aisdr.com,250.0,annual_lock,https://aibuildermarketplace.com/b2b/aisdr-review/,2026-07,$250,"a month (or $2,400 a year), 1 user",public
AISQ,Growth & Revenue,aisq.com,9.99,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/aisq-review/,2026-07,$9.99,"per month, Web Dev Kit $51.20 and Business $71.99",public
Algomo,Sales & CRM,algomo.com,200.0,,https://aibuildermarketplace.com/b2b/algomo-review/,2026-07,$200,a month (no per-seat pricing),public
Alidrop,Growth & Revenue,alidrop.co,39.0,annual_lock,https://aibuildermarketplace.com/b2b/alidrop-review/,2026-07,$39,per month (50 unique/25 premium products),public
Alli AI,Marketing,alliai.com,299.0,addons_extra,https://aibuildermarketplace.com/b2b/alli-ai-review/,2026-07,$299,"per month billed annually (5 sites, 5 users, 500 keywords)",public
Alohi,Operations & Workflow,alohi.com,6.99,per_seat|usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/alohi-review/,2026-07,$6.99,a month billed annually ($83.99/yr),public
AltText.ai,Marketing,alttext.ai,5.0,usage_metered,https://aibuildermarketplace.com/b2b/alttext-ai-review/,2026-07,$5,per month (100 credits/mo),public
Alvys,Operations & Workflow,alvys.com,,addons_extra,https://aibuildermarketplace.com/b2b/alvys-review/,2026-07,,,quote_only
Amplemarket,Growth & Revenue,amplemarket.com,600.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/amplemarket-review/,2026-07,$600,per month billed annually (2 users),public
Amplitude,Analytics,amplitude.com,,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/amplitude-review/,2026-07,,,quote_only
Answering Service Care,Communication & Voice,answeringservicecare.com,40.0,usage_metered,https://aibuildermarketplace.com/b2b/answering-service-care-review/,2026-07,$40,Starter · billed monthly,public
Aplos,Finance & Accounting,aplos.com,79.0,per_seat,https://aibuildermarketplace.com/b2b/aplos-review/,2026-07,$79,"Lite · billed monthly, as published for all three tiers",public
Apollo,Growth & Revenue,apollo.io,49.0,per_seat|usage_metered|free_tier,https://aibuildermarketplace.com/b2b/apollo-review/,2026-07,$49,per seat/mo billed annually ($65 monthly),public
Arbor,Financial Operations,joinarbor.com,,,https://aibuildermarketplace.com/b2b/arbor-review/,2026-07,,,see_details
AskNest,Customer Support,ecommercestorez.us,4.99,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/asknest-review/,2026-07,$4.99,Starter · per month for 500 AI replies with automatic shopper-language detection…,public
Aspire,Financial Operations,aspireapp.com,,free_tier,https://aibuildermarketplace.com/b2b/aspire-review/,2026-07,S$15,a month (SGD),public
Assembly,Business Operations,assembly.com,3.0,per_seat|addons_extra,https://aibuildermarketplace.com/b2b/assembly-review/,2026-07,$3,per user a month billed yearly,public
Atlas AI Store Builder,E-commerce,helloatlas.io,39.0,usage_metered,https://aibuildermarketplace.com/b2b/atlas-ai-store-builder-review/,2026-07,$39,"All-in-one · per month, plus usage charges that scale with the revenue your store…",public
Atria,Growth & Revenue,tryatria.com,129.0,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/atria-review/,2026-07,$129,"a month, billed annually (a stated $360/yr saving), 5 seats",public
Atto,Operations & Workflow,attotime.com,5.65,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/atto-review/,2026-07,$5.65,per user a month billed annually (Starter),public
Attribuly,Growth & Revenue,attribuly.com,450.0,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/attribuly-review/,2026-07,$450,Capture · per month,public
Audiorista,Content & Media,audiorista.com,29.0,addons_extra,https://aibuildermarketplace.com/b2b/audiorista-review/,2026-07,$29,"per month (preview tier, no publishing or monetization)",public
Aura,E-commerce,goaura.com,37.0,,https://aibuildermarketplace.com/b2b/aura-review/,2026-07,$37,"Starter · per month flat per account, but the tier is set by your monthly sales…",public
AutoWrite,Marketing,autowrite.blog,9.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/autowrite-review/,2026-07,$9,"Starter · per month, billed every 30 days in USD",public
Auware,Growth & Revenue,auware.com,99.0,,https://aibuildermarketplace.com/b2b/auware-review/,2026-07,$99,"a month, 30-day free trial, billed through the Shopify app",public
Ava AI,E-commerce,avasales.ai,29.0,usage_metered,https://aibuildermarketplace.com/b2b/ava-ai-review/,2026-07,$29,"a month, includes 100 call minutes, then $0.10 a minute overage",public
AWeber,Growth & Revenue,aweber.com,12.49,annual_lock|free_tier,https://aibuildermarketplace.com/b2b/aweber-review/,2026-07,$12.49,per month billed annually at 500 subs,public
BabyLoveGrowth,Marketing,babylovegrowth.ai,,,https://aibuildermarketplace.com/b2b/babylovegrowth-review/,2026-07,€99,"a month, or €75 billed yearly",public
BackupMaster,Operations & Workflow,backupmaster.io,19.0,usage_metered,https://aibuildermarketplace.com/b2b/backupmaster-review/,2026-07,$19,Essentials · per month for a live store up to 300 orders a month,public
Barcodes Talk,Operations & Workflow,barcodestalk.com,,,https://aibuildermarketplace.com/b2b/barcodes-talk-review/,2026-07,,,see_details
Beautiful.ai,Operations & Workflow,beautiful.ai,14.5,per_seat,https://aibuildermarketplace.com/b2b/beautiful-ai-review/,2026-07,$14.50,Pro · per month billed annually,public
Beefree,Growth & Revenue,beefree.io,25.0,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/beefree-review/,2026-07,$25,per month billed yearly ($30 monthly),public
Beehiiv,Growth & Revenue,beehiiv.com,49.0,free_tier,https://aibuildermarketplace.com/b2b/beehiiv-review/,2026-07,$49,"Scale, up to 1,000… · billed monthly",public
BidX,E-commerce,bidx.io,,usage_metered|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/bidx-review/,2026-07,€495,"Self Service Platform · per month PLUS an unpublished percentage of connected ad spend, net of…",public
Bill.com,Financial Operations,bill.com,49.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/bill-com-review/,2026-07,$49,per user per month,public
BillingNow,Finance & Accounting,billingnow.com,,usage_metered,https://aibuildermarketplace.com/b2b/billingnow-review/,2026-07,$9.99,"a month, or $99.90 a year ($8.33/mo), 3-day trial, no card required",public
Birch,Growth & Revenue,bir.ch,49.0,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/birch-review/,2026-07,$49,"a month, up to $10K monthly ad spend (price then scales with spend)",public
Bitdefender,IT & Productivity,bitdefender.com,,addons_extra,https://aibuildermarketplace.com/b2b/bitdefender-review/,2026-07,$32.50,a year per device (list price at 10 devices for one year),public
Bitscale,Growth & Revenue,bitscale.ai,349.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/bitscale-review/,2026-07,$349,"per month for 15,000 (Booster $799 for 50,000)",public
Bitvavo,Financial Operations,bitvavo.com,,,https://aibuildermarketplace.com/b2b/bitvavo-review/,2026-07,,,see_details
Blinq,IT & Productivity,blinq.me,9.99,per_seat|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/blinq-review/,2026-07,$9.99,"Premium, for individuals · billed monthly",public
Blocky,E-commerce,effectify.io,9.99,addons_extra,https://aibuildermarketplace.com/b2b/blocky-review/,2026-07,$9.99,Basic Plan · per month for country blocking only,public
Bokun,Operations & Workflow,bokun.io,49.0,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/bokun-review/,2026-07,$49,"Start · per month, cancel anytime per their own FAQ",public
Bolt Business,Operations & Workflow,bolt.eu,,,https://aibuildermarketplace.com/b2b/bolt-business-review/,2026-07,,,quote_only
BookX,Operations & Workflow,logbase.io,,free_tier,https://aibuildermarketplace.com/b2b/bookx-review/,2026-07,$9.99,"Starter · a month, or $107.99 a year, for five locations and team members with…",public
Bookyourdata,Growth & Revenue,bookyourdata.com,,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/bookyourdata-review/,2026-07,,,see_details
Bot It AI,E-commerce,botitai.com,29.0,free_tier,https://aibuildermarketplace.com/b2b/bot-it-ai-review/,2026-07,$29,"Pro · per month for the automated AI fixes, rank tracking and the enrichment…",public
Boulevard,Business Operations,joinblvd.com,,addons_extra,https://aibuildermarketplace.com/b2b/boulevard-review/,2026-07,,,see_details
Bouncer,Growth & Revenue,usebouncer.com,,usage_metered,https://aibuildermarketplace.com/b2b/bouncer-review/,2026-07,,,see_details
Bread & Butter,Marketing,breadbutter.io,49.0,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/bread-butter-review/,2026-07,$49,"a month per website (5,000 lead profiles)",public
Breezy HR,Operations & Workflow,breezy.hr,157.0,per_seat|free_tier,https://aibuildermarketplace.com/b2b/breezy-hr-review/,2026-07,$157,per month billed annually ($189 monthly),public
Brevo,Growth & Revenue,brevo.com,,per_seat|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/brevo-review/,2026-07,€7,a month or €6.33 billed yearly,public
Bright Data,IT & Productivity,brightdata.com,,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/bright-data-review/,2026-07,,,see_details
Browse.ai,IT & Productivity,browse.ai,19.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/browse-ai-review/,2026-07,$19,"a month billed annually (12,000 credits/yr), or $48/mo billed monthly",public
BrowserAct,Developer Tools,browseract.com,13.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/browseract-review/,2026-07,$13,"Basic · per month, annual",public
BuddyPunch,Operations & Workflow,buddypunch.com,5.99,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/buddypunch-review/,2026-07,$5.99,per user a month plus $19/mo base fee,public
BugHerd,Operations & Workflow,bugherd.com,42.0,per_seat|annual_lock,https://aibuildermarketplace.com/b2b/bugherd-review/,2026-07,$42,per month (5 members),public
